"","SubjID","Image.1","Image.2","Image.3","T2.1","T3.1","T4.1","T.7","gender","age","height","weight","education","marriage","wor.env","environmentalist","gov.staff","smoke","T.35.2","fam.income","Location","Image","sub.topic","topic"
"357","A20180114A0910","<U+96FE><U+973E><U+5BF9><U+8EAB><U+4F53><U+4E0D><U+597D>","<U+96FE><U+973E><U+5BF9><U+8EAB><U+4F53><U+4E0D><U+597D>",NA,"2","1",NA,"5","0","56","155","120","3","2","3",NA,NA,"<U+5426>","1","5","Yangzhou","Image.1.tag","c-1","c"
"358","A20180114A0912","<U+5BD2><U+98CE><U+51DB><U+51BD><U+6570><U+4E5D><U+4E25><U+5BD2>","<U+5929><U+5BD2><U+51B7><U+5F00><U+6696><U+6C14>","<U+591A><U+6D3B><U+52A8><U+591A><U+4FDD><U+6696>","3","2","2","5","0","67","162","120","5","1",NA,NA,NA,"<U+5426>","2","6","Yangzhou","Image.1.tag","s-5","s"
"359","A20180114A0913","<U+4E07><U+91CC><U+65E0><U+4E91>","<U+9634><U+51B7><U+96BE><U+53D7>","<U+8DEF><U+6ED1><U+5C0F><U+5FC3>","1","1","1","2","1","68","171","160","7","2",NA,NA,"1","<U+5426>","1","5","Yangzhou","Image.1.tag","s-2","s"
"360","A20180114A0914","<U+73AF><U+5883><U+6C61><U+67D3>","<U+96FE><U+973E>",NA,"2","3","1","5",NA,"65","162","130","3","2",NA,NA,NA,"<U+5426>","1","4","Yangzhou","Image.1.tag","c-2","c"
"361","A20180114A0915","<U+96FE><U+973E><U+5BF9><U+8EAB><U+4F53><U+4E0D><U+597D>","<U+96FE><U+973E><U+5BF9><U+8EAB><U+4F53><U+4E0D><U+597D>",NA,NA,NA,"1","5","0","56","160","90","6","2",NA,"<U+5426>","0","<U+5426>","1","5","Yangzhou","Image.1.tag","c-1","c"
"362","A20180114A0917","<U+73AF><U+5883><U+6C61><U+67D3>","<U+96FE><U+973E>",NA,"2","3","1","4","0","50","158","130","4","2",NA,"<U+5426>","0","<U+5426>","1","3","Yangzhou","Image.1.tag","c-2","c"
"363","A20180114A0918","<U+96FE><U+973E><U+5BF9><U+8EAB><U+4F53><U+4E0D><U+597D>","<U+96FE><U+973E><U+5BF9><U+8EAB><U+4F53><U+4E0D><U+597D>",NA,"2","3","1","5","0","68","156","130","3","2",NA,NA,NA,"<U+5426>","1","3","Yangzhou","Image.1.tag","c-1","c"
"364","A20180114A0919","<U+96FE><U+973E>","<U+6216><U+51B7><U+6216><U+70ED>","<U+6C14><U+6E29><U+6781><U+5EA6><U+4E0B><U+964D>","2",NA,"1","4","0","55","165","130","6","2","3","<U+5426>","0","<U+5426>","0","4","Yangzhou","Image.1.tag","c-1","c"
"365","A20180114A0920","<U+96FE>",NA,NA,NA,NA,"1","5","0","64","155","110","3","2","1","<U+5426>","0","<U+5426>","2","4","Yangzhou","Image.1.tag","c-1","c"
"366","A20180114A0921","<U+6C14><U+5019><U+53D8><U+5316><U+5F15><U+8D77><U+54BD><U+5589><U+4E0D><U+597D>",NA,NA,"2","1","1","5","0","73","160","140","2","2",NA,NA,NA,"<U+5426>","0","4","Yangzhou","Image.1.tag","e-2","e"
"367","A20180114A0922","<U+96FE><U+973E>","<U+82B1><U+7C89><U+8FC7><U+654F>","<U+5EFA><U+7B51><U+5783><U+573E>","2",NA,"1","5","0","65","155","110","3","2","3","<U+5426>",NA,"<U+5426>","1","4","Yangzhou","Image.1.tag","c-1","c"
"368","A20180114A0923","<U+6C14><U+5019><U+53D8><U+5316><U+5F15><U+8D77><U+54BD><U+5589><U+4E0D><U+597D>",NA,NA,"2","1","1","5","0","59","168","122","4","2",NA,NA,NA,"<U+5426>","0","4","Yangzhou","Image.1.tag","e-2","e"
"369","A20180114A0924","<U+96FE><U+973E>","<U+653E><U+70DF><U+82B1><U+97AD><U+7AF9>","<U+5E94><U+7981><U+653E><U+70DF><U+82B1><U+97AD><U+70AE>","1","1","2","4","0","63","163","148","4","2",NA,NA,NA,"<U+5426>","1","4","Yangzhou","Image.1.tag","c-1","c"
"370","A20180114A0925","<U+6709><U+65E0><U+4F24><U+5BB3>","<U+81EA><U+6211><U+4FDD><U+62A4><U+610F><U+8BC6>","<U+589E><U+51CF><U+8863><U+670D>","2","1","3","4","0","60","159","105","5","2","1","<U+5426>","0","<U+5426>","0","3","Yangzhou","Image.1.tag","e-2","e"
"371","A20180114A0926","<U+96FE><U+973E><U+4E0D><U+51FA><U+53BB>",NA,NA,"2","2","1","5","0","61","153","114","4","1",NA,NA,NA,"<U+5426>","1","3","Yangzhou","Image.1.tag","f-1","f"
"372","A20180114A0927","<U+96FE><U+973E>",NA,NA,"2","2",NA,"5","0","68","160","100","3","2",NA,NA,NA,NA,"1","4","Yangzhou","Image.1.tag","c-1","c"
"373","A20180114A0928","<U+96FE><U+973E>",NA,NA,"2","2","3","5","0","58","164","120","4","2",NA,NA,NA,NA,"0","3","Yangzhou","Image.1.tag","c-1","c"
"374","A20180114A0929","<U+96FE><U+973E>","<U+82B1><U+7C89><U+8FC7><U+654F>",NA,NA,NA,"3","5","0","68","157","112","6","2","3",NA,NA,"<U+5426>","0","4","Yangzhou","Image.1.tag","c-1","c"
"375","A20180114A0931","<U+96FE><U+973E>","<U+82B1><U+7C89><U+8FC7><U+654F>","<U+5EFA><U+7B51><U+5783><U+573E>","2","1",NA,"5","0","59","159","103","4","2","1",NA,NA,"<U+5426>","0","4","Yangzhou","Image.1.tag","c-1","c"
